774,1148,0,-10127,-15015,0.1,-15015.1,-22261,0.2,0.3,0.4,0.5
791,1173,0,-10052,-14904,0,-14904,-22096,0,0,0,0
17826,27450,0,2005,3088,0,3088,4756,0,0,0,0
1450,2321,0,-6056,-9692,0,-9692,-15510,0,0,0,0
1392,2317,0,-5793,-9641,0,-9641,-16045,0,0,0,0
1352,2342,0,-5457,-9453,0,-9453,-16373,0,0,0,0
1321,2383,0,-5093,-9189,0,-9189,-16577,0,0,0,0
689,1296,0,-6992,-13150,0,-13150,-24732,0,0,0,0
-19238,26479,0,2336,-3215,0,-3215,4425,0,0,0,0
-19238,26479,0,2336,-3215,0,-3215,4425,0,0,0,0
-19698,26140,0,2449,-3250,0,-3250,4312,0,0,0,0
-20151,25792,0,2563,-3280,0,-3280,4198,0,0,0,0
-20598,25436,0,2678,-3307,0,-3307,4083,0,0,0,0
-21039,25073,-571,2793,-3329,-75,-3329,3968,90,-75,90,2
-21473,24702,-571,2910,-3348,-77,-3348,3851,89,-77,89,2
-21901,24323,-571,3027,-3362,-78,-3362,3734,87,-78,87,2
-28345,-16365,-1142,5071,2928,-204,2928,1690,-117,-204,-117,8
-28345,-16365,-1142,5071,2928,-204,2928,1690,-117,-204,-117,8
-28055,-16857,-1142,4968,2985,-202,2985,1793,-121,-202,-121,8
-27757,-17344,-1713,4863,3038,-300,3038,1898,-187,-300,-187,18
-27450,-17826,-1713,4756,3088,-296,3088,2005,-192,-296,-192,18
-27135,-18302,-1713,4647,3134,-293,3134,2114,-197,-293,-197,18
-26811,-18773,-2283,4537,3177,-386,3177,2224,-270,-386,-270,32
-26479,-19238,-2283,4425,3215,-381,3215,2336,-277,-381,-277,32
1604,-2670,-271,-4921,8190,-832,8190,-13630,1385,-832,1385,-140
1619,-2694,-274,-4859,8087,-822,8087,-13460,1368,-822,1368,-139
1686,-2698,-332,-5059,8096,-997,8096,-12956,1597,-997,1597,-196
1751,-2697,-391,-5263,8104,-1177,8104,-12480,1813,-1177,1813,-263
1820,-2699,-396,-5448,8077,-1187,8077,-11975,1760,-1187,1760,-258
1887,-2695,-457,-5642,8058,-1369,8058,-11509,1955,-1369,1955,-332
1954,-2689,-520,-5829,8023,-1551,8023,-11042,2135,-1551,2135,-412
2029,-2693,-527,-5971,7924,-1552,7924,-10516,2059,-1552,2059,-403
980,794,-240,19425,15730,4769,15730,12737,3862,4769,3862,1170
978,792,-240,19410,15718,4765,15718,12728,3859,4765,3859,1170
965,810,-240,18869,15833,4700,15833,13285,3943,4700,3943,1170
950,826,-261,18310,15917,5044,15917,13836,4384,5044,4384,1389
937,843,-283,17758,15989,5375,15989,14396,4840,5375,4840,1627
922,859,-283,17199,16038,5290,16038,14955,4933,5290,4933,1627
909,878,-327,16651,16079,5991,16079,15527,5785,5991,5785,2155
903,903,-330,16145,16145,5909,16145,16145,5909,5909,5909,2163
-23544,22736,-9569,3498,-3378,-1422,-3378,3263,1373,-1422,1373,578
-23544,22736,-9569,3498,-3378,-1422,-3378,3263,1373,-1422,1373,578
-23937,22322,-10114,3616,-3372,-1528,-3372,3145,1425,-1528,1425,645
-24323,21901,-10656,3734,-3362,-1636,-3362,3027,1473,-1636,1473,716
-24702,21473,-11194,3851,-3348,-1745,-3348,2910,1517,-1745,1517,791
-25073,21039,-11729,3968,-3329,-1856,-3329,2793,1557,-1856,1557,868
-25436,20598,-11729,4083,-3307,-1883,-3307,2678,1525,-1883,1525,868
-25792,20151,-12789,4198,-3280,-2082,-3280,2563,1626,-2082,1626,1032
-19698,-26140,-13832,2449,3250,-1719,3250,4312,-2282,-1719,-2282,1207
-19698,-26140,-13832,2449,3250,-1719,3250,4312,-2282,-1719,-2282,1207
-19238,-26479,-14348,2336,3215,-1742,3215,4425,-2398,-1742,-2398,1299
-18773,-26811,-14859,2224,3177,-1760,3177,4537,-2514,-1760,-2514,1393
-18302,-27135,-15366,2114,3134,-1775,3134,4647,-2631,-1775,-2631,1490
-17826,-27450,-15868,2005,3088,-1785,3088,4756,-2749,-1785,-2749,1589
-17344,-27757,-16857,1898,3038,-1845,3038,4863,-2953,-1845,-2953,1793
-16857,-28055,-16857,1793,2985,-1793,2985,4968,-2985,-1793,-2985,1793
5527,-2346,-3357,3865,-1640,2348,-1640,696,-996,2348,-996,1426
5469,-2321,-3322,3438,-1459,2088,-1459,619,-886,2088,-886,1268
5500,-2222,-3317,3426,-1384,2066,-1384,559,-834,2066,-834,1246
5564,-2135,-3503,3662,-1405,2305,-1405,539,-885,2305,-885,1451
5609,-2041,-3592,3774,-1373,2417,-1373,499,-879,2417,-879,1547
5573,-1919,-3629,3291,-1133,2143,-1133,390,-738,2143,-738,1395
5594,-1817,-3701,3237,-1051,2142,-1051,341,-696,2142,-696,1417
5575,-1704,-3747,2892,-884,1944,-884,270,-594,1944,-594,1306
1468,3634,-2673,-1699,-4207,-3094,-4207,-10413,-7659,-3094,-7659,-5634
1470,3639,-2676,-1694,-4193,-3084,-4193,-10378,-7634,-3084,-7634,-5615
1402,3654,-2718,-1561,-4068,-3027,-4068,-10599,-7886,-3027,-7886,-5868
1328,3648,-2793,-1451,-3988,-3052,-3988,-10957,-8387,-3052,-8387,-6421
933,2711,-2097,-2175,-6318,-4887,-6318,-18351,-14194,-4887,-14194,-10979
876,2699,-2109,-1983,-6103,-4769,-6103,-18783,-14677,-4769,-14677,-11468
815,2666,-2135,-1809,-5918,-4740,-5918,-19357,-15506,-4740,-15506,-12421
758,2644,-2137,-1630,-5686,-4597,-5686,-19832,-16033,-4597,-16033,-12962
-984,17,-796,29938,-522,-24224,-522,9,422,-24224,422,19601
-984,17,-796,29938,-522,-24224,-522,9,422,-24224,422,19601
-985,0,-806,29948,0,-24531,0,0,0,-24531,0,20095
-984,-17,-816,29938,522,-24824,522,9,-433,-24824,-433,20583
-985,-34,-826,29919,1044,-25107,1044,36,-876,-25107,-876,21070
-984,-51,-836,29873,1565,-25369,1565,82,-1329,-25369,-1329,21543
-984,-68,-854,29818,2085,-25886,2085,145,-1810,-25886,-1810,22472
-983,-86,-863,29736,2601,-26107,2601,227,-2284,-26107,-2284,22921
-1142,-32711,-29418,8,235,-212,235,6753,-6073,-212,-6073,5462
-1142,-32711,-29418,8,235,-212,235,6753,-6073,-212,-6073,5462
-571,-32726,-29418,2,117,-106,117,6759,-6076,-106,-6076,5462
0,-32731,-29664,0,0,0,0,6762,-6128,0,-6128,5554
571,-32726,-29901,2,-117,107,-117,6759,-6176,107,-6176,5643
1142,-32711,-29901,8,-235,215,-235,6753,-6173,215,-6173,5643
1713,-32686,-29901,18,-353,323,-353,6743,-6168,323,-6168,5643
2283,-32651,-30129,32,-470,434,-470,6729,-6209,434,-6209,5729
5191,-181,-4782,-1912,66,-1761,66,-2,61,-1761,61,-1622
5208,-181,-4797,-1776,62,-1636,62,-2,57,-1636,57,-1507
5208,-90,-4794,-1802,31,-1659,31,0,28,-1659,28,-1527
5228,0,-4812,-1651,0,-1519,0,0,0,-1519,0,-1398
5233,91,-4817,-1602,-27,-1475,-27,0,-25,-1475,-25,-1358
5281,184,-4864,-1193,-41,-1099,-41,-1,-38,-1099,-38,-1012
5252,275,-4841,-1391,-72,-1282,-72,-3,-67,-1282,-67,-1182
5277,369,-4869,-1149,-80,-1060,-80,-5,-74,-1060,-74,-978
280,1992,-1852,-530,-3772,-3506,-3772,-26843,-24952,-3506,-24952,-23194
4555,32412,-30129,130,931,866,931,6631,6163,866,6163,5729
245,1996,-1851,-406,-3312,-3071,-3312,-26975,-25017,-3071,-25017,-23201
210,2001,-1852,-299,-2844,-2633,-2844,-27066,-25052,-2633,-25052,-23188
176,2012,-1859,-207,-2371,-2191,-2371,-27102,-25043,-2191,-25043,-23140
2283,32651,-29901,32,470,430,470,6729,6162,430,6162,5643
62,1190,-1088,86,1651,1510,1651,31516,28831,1510,28831,26374
41,1182,-1080,38,1099,1005,1099,31492,28787,1005,28787,26314
-882,30,-800,29096,-1016,-26386,-1016,35,921,-26386,921,23928
-883,30,-801,29104,-1016,-26393,-1016,35,921,-26393,921,23935
-884,15,-795,29139,-508,-26194,-508,8,457,-26194,457,23546
-886,0,-796,29156,0,-26205,0,0,0,-26205,0,23553
-886,-15,-797,29155,508,-26208,508,8,-457,-26208,-457,23559
-888,-31,-792,29144,1017,-25983,1017,35,-907,-25983,-907,23165
-888,-46,-785,29108,1525,-25736,1525,79,-1348,-25736,-1348,22754
-888,-62,-786,29053,2031,-25715,2031,142,-1798,-25715,-1798,22761
-1713,-32686,-28345,18,353,-306,353,6743,-5848,-306,-5848,5071
-1142,-32711,-28345,8,235,-204,235,6753,-5852,-204,-5852,5071
-571,-32726,-28345,2,117,-102,117,6759,-5855,-102,-5855,5071
0,-32731,-28055,0,0,0,0,6762,-5796,0,-5796,4968
571,-32726,-27757,2,-117,100,-117,6759,-5733,100,-5733,4863
1142,-32711,-27757,8,-235,200,-235,6753,-5731,200,-5731,4863
1713,-32686,-27450,18,-353,296,-353,6743,-5663,296,-5663,4756
2283,-32651,-27135,32,-470,391,-470,6729,-5592,391,-5592,4647
6049,-211,-4896,4939,-172,3998,-172,6,-139,3998,-139,3237
6020,-210,-4873,4708,-164,3811,-164,5,-133,3811,-133,3085
6088,-106,-4926,5232,-91,4233,-91,1,-73,4233,-73,3425
6091,0,-4864,5250,0,4192,0,0,0,4192,0,3348
6198,108,-4884,6112,106,4817,106,1,84,4817,84,3796
6177,215,-4870,5962,208,4701,208,7,164,4701,164,3707
6158,322,-4792,5841,306,4546,306,16,238,4546,238,3537
6202,433,-4763,6235,436,4788,436,30,334,4788,334,3677
272,1937,-1454,-538,-3833,-2876,-3833,-27275,-20468,-2876,-20468,-15360
4555,32412,-24323,130,931,699,931,6631,4976,699,4976,3734
245,1997,-1472,-406,-3310,-2439,-3310,-26959,-19865,-2439,-19865,-14637
210,2004,-1450,-298,-2842,-2055,-2842,-27043,-19560,-2055,-19560,-14148
175,2007,-1424,-207,-2374,-1685,-2374,-27142,-19265,-1685,-19265,-13674
140,2015,-1403,-132,-1900,-1323,-1900,-27177,-18924,-1323,-18924,-13178
105,2019,-1352,-74,-1426,-955,-1426,-27219,-18238,-955,-18238,-12220
70,2025,-1329,-33,-950,-624,-950,-27220,-17869,-624,-17869,-11730
-1078,-113,-667,30404,3195,-18821,3195,335,-1978,-18821,-1978,11651
-32551,-3421,-20151,6688,702,-4140,702,73,-435,-4140,-435,2563
-1083,-133,-657,30346,3726,-18400,3726,457,-2259,-18400,-2259,11156
-32412,-4555,-19238,6631,931,-3935,931,130,-553,-3935,-553,2336
-32328,-5120,-18302,6596,1044,-3734,1044,165,-591,-3734,-591,2114
-1227,-216,-678,31069,5478,-17182,5478,965,-3029,-17182,-3029,9502
-32129,-6245,-17344,6515,1266,-3517,1266,246,-683,-3517,-683,1898
-1502,-319,-791,-29833,-6341,15708,-6341,-1347,3338,15708,3338,-8271
7362,-31892,-14859,342,-1482,690,-1482,6419,-2991,690,-2991,1393
7362,-31892,-14859,342,-1482,690,-1482,6419,-2991,690,-2991,1393
660,-2649,-1239,-1265,5075,-2374,5075,-20357,9525,-2374,9525,-4456
8471,-31615,-13832,452,-1690,739,-1690,6309,-2760,739,-2760,1207
9021,-31463,-13312,513,-1791,758,-1791,6248,-2643,758,-2643,1118
9569,-31300,-12789,578,-1890,772,-1890,6183,-2526,772,-2526,1032
10114,-31129,-11729,645,-1987,748,-1987,6116,-2304,748,-2304,868
10656,-30947,-10656,716,-2081,716,-2081,6045,-2081,716,-2081,716
6549,2383,-1803,5970,2173,1644,2173,791,598,1644,598,452
6408,2332,-1765,5970,2173,1644,2173,791,598,1644,598,452
6209,2383,-1721,5893,2262,1633,2262,868,627,1633,627,452
6212,2509,-1620,5813,2348,1516,2348,948,612,1516,612,395
6225,2642,-1406,5729,2432,1294,2432,1032,549,1294,549,292
6258,2786,-1307,5643,2512,1178,2512,1118,524,1178,524,246
1115,520,-192,26214,12224,4524,12224,5700,2109,4524,2109,781
1101,537,-170,25749,12558,3987,12558,6125,1944,3987,1944,617
-7918,31758,-2852,395,-1587,-142,-1587,6366,571,-142,571,51
-7918,31758,-2852,395,-1587,-142,-1587,6366,571,-142,571,51
-8471,31615,-1713,452,-1690,-91,-1690,6309,341,-91,341,18
-9021,31463,-1142,513,-1791,-65,-1791,6248,226,-65,226,8
-9569,31300,-571,578,-1890,-34,-1890,6183,112,-34,112,2
-10114,31129,0,645,-1987,0,-1987,6116,0,0,0,0
-10656,30947,571,716,-2081,38,-2081,6045,-111,38,-111,2
-11194,30757,1142,791,-2173,80,-2173,5970,-221,80,-221,8
-1874,-467,168,-26374,-6575,-2369,-6575,-1639,-590,-2369,-590,-212
-1882,-469,169,-26314,-6560,-2363,-6560,-1635,-589,-2363,-589,-212
-1864,-499,201,-26152,-7007,-2830,-7007,-1877,-758,-2830,-758,-306
-1863,-534,236,-25833,-7407,-3275,-7407,-2124,-939,-3275,-939,-415
-1863,-569,271,-25494,-7794,-3710,-7794,-2383,-1134,-3710,-1134,-539
-31129,-10114,5120,6116,1987,1006,1987,645,326,1006,326,165
-30947,-10656,5120,6045,2081,1000,2081,716,344,1000,344,165
-30757,-11194,5683,5970,2173,1103,2173,791,401,1103,401,203
1026,-2674,546,-2639,6875,1405,6875,-17911,-3660,1405,-3660,-748
1033,-2691,599,-2620,6827,1520,6827,-17786,-3961,1520,-3961,-882
1087,-2691,603,-2841,7032,1576,7032,-17405,-3903,1576,-3903,-875
1142,-2692,608,-3064,7218,1630,7218,-17006,-3841,1630,-3841,-867
1197,-2689,662,-3295,7401,1822,7401,-16624,-4093,1822,-4093,-1008
1243,-2667,662,-3559,7632,1894,7632,-16368,-4062,1894,-4062,-1008
1298,-2663,666,-3798,7788,1949,7788,-15969,-3996,1949,-3996,-1000
1355,-2660,671,-4036,7921,2000,7921,-15547,-3925,2000,-3925,-991
28899,15366,7362,5271,2802,-1343,2802,1490,-714,-1343,-714,342
28899,15366,7362,5271,2802,-1343,2802,1490,-714,-1343,-714,342
1061,588,273,24309,13475,-6252,13475,7469,-3465,-6252,-3465,1608
1048,605,272,23816,13750,-6186,13750,7938,-3571,-6186,-3571,1606
28055,16857,7362,4968,2985,-1303,2985,1793,-783,-1303,-783,342
1180,737,289,-23253,-14530,5700,-14530,-9079,3562,5700,3562,-1397
1160,753,287,-22787,-14798,5649,-14798,-9609,3668,5649,3668,-1400
1146,773,287,-22272,-15022,5585,-15022,-10132,3767,5585,3767,-1400
-19238,26479,6245,2336,-3215,758,-3215,4425,-1043,758,-1043,246
-19238,26479,6245,2336,-3215,758,-3215,4425,-1043,758,-1043,246
-19698,26140,6245,2449,-3250,776,-3250,4312,-1030,776,-1030,246
-20151,25792,6245,2563,-3280,794,-3280,4198,-1016,794,-1016,246
-20598,25436,5683,2678,-3307,738,-3307,4083,-912,738,-912,203
-21039,25073,5120,2793,-3329,679,-3329,3968,-810,679,-810,165
22573,-16112,10244,2910,-3348,693,-3348,3851,-798,693,-798,165
-537,597,125,12760,-14171,2983,-14171,15739,-3313,2983,-3313,697
-26479,-19238,4555,4425,3215,761,3215,2336,553,761,553,130
-26479,-19238,4555,4425,3215,761,3215,2336,553,761,553,130
-26140,-19698,3988,4312,3250,658,3250,2449,495,658,495,100
-25792,-20151,3988,4198,3280,649,3280,2563,507,649,507,100
-25436,-20598,3421,4083,3307,549,3307,2678,444,549,444,73
-25073,-21039,2852,3968,3329,451,3329,2793,378,451,378,51
-24702,-21473,2852,3851,3348,444,3348,2910,386,444,386,51
-24323,-21901,2852,3734,3362,437,3362,3027,394,437,394,51
1892,-2702,172,-5619,8024,512,8024,-11460,-732,512,-732,-46
1910,-2728,174,-5534,7904,505,7904,-11289,-721,505,-721,-46
1984,-2731,176,-5688,7829,506,7829,-10775,-697,506,-697,-45
2060,-2734,119,-5823,7728,337,7728,-10256,-448,337,-448,-19
2106,-2696,59,-6101,7808,172,7808,-9994,-221,172,-221,-4
2176,-2688,60,-6257,7727,173,7727,-9542,-214,173,-214,-4
2254,-2686,0,-6369,7590,0,7590,-9046,0,0,0,0
2338,-2690,0,-6435,7403,0,7403,-8517,0,0,0,0
1045,555,-20,24587,13073,486,13073,6951,258,486,258,9
28899,15366,-571,5271,2802,104,2802,1490,55,104,55,2
28627,15868,-571,5172,2867,103,2867,1589,57,103,57,2
1232,711,-49,-24063,-13893,-969,-13893,-8021,-559,-969,-559,-39
1183,711,-72,-23820,-14313,-1454,-14313,-8600,-873,-1454,-873,-88
1165,728,-95,-23356,-14595,-1921,-14595,-9120,-1200,-1921,-1200,-158
1143,742,-118,-22899,-14871,-2379,-14871,-9657,-1545,-2379,-1545,-247
1115,752,-140,-22475,-15159,-2833,-15159,-10225,-1911,-2833,-1911,-357
-462,661,-112,9384,-13401,-2276,-13401,19139,3251,-2276,3251,552
-18773,26811,-5120,2224,-3177,-606,-3177,4537,866,-606,866,165
-19238,26479,-5120,2336,-3215,-621,-3215,4425,855,-621,855,165
-19698,26140,-5683,2449,-3250,-706,-3250,4312,937,-706,937,203
-20151,25792,-6245,2563,-3280,-794,-3280,4198,1016,-794,1016,246
-20598,25436,-6805,2678,-3307,-884,-3307,4083,1092,-884,1092,292
-21039,25073,-7362,2793,-3329,-977,-3329,3968,1165,-977,1165,342
-21473,24702,-7918,2910,-3348,-1073,-3348,3851,1234,-1073,1234,395
-24323,-21901,-9569,3734,3362,-1469,3362,3027,-1322,-1469,-1322,578
-24323,-21901,-9569,3734,3362,-1469,3362,3027,-1322,-1469,-1322,578
-23937,-22322,-9569,3616,3372,-1445,3372,3145,-1348,-1445,-1348,578
-23544,-22736,-10656,3498,3378,-1583,3378,3263,-1529,-1583,-1529,716
-23144,-23144,-10656,3381,3381,-1556,3381,3380,-1556,-1556,-1556,716
-22736,-23544,-11729,3263,3378,-1683,3378,3498,-1743,-1683,-1743,868
-22322,-23937,-12261,3145,3372,-1727,3372,3616,-1852,-1727,-1852,948
-21901,-24323,-12789,3027,3362,-1767,3362,3734,-1963,-1767,-1963,1032
3008,-2709,-1774,-6119,5510,-3609,5510,-4961,3250,-3609,3250,-2129
3052,-2748,-1800,-5863,5279,-3458,5279,-4753,3114,-3458,3114,-2040
3156,-2743,-1898,-5706,4960,-3432,4960,-4311,2983,-3432,2983,-2064
3286,-2757,-2014,-5371,4507,-3292,4507,-3782,2762,-3292,2762,-2017
3406,-2758,-2124,-5079,4113,-3168,4113,-3330,2565,-3168,2565,-1976
3052,-2385,-1995,-7750,6055,-5065,6055,-4730,3957,-5065,3957,-3310
